"Division","Division Name","AI Application","Department","Deployed","Impact","Cost Saved","Investment","ROI","Payback","User Adoption","User Satisfaction","Accuracy","AI Technology","Status"
"INNOVATION & THE FUTURE","INNOVATION & THE FUTURE","AI-Driven Digital Experience","Digital Experience Department - Innovation & The Future – Digital Solutions & Services","2025","Other","AED 1,308,000","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported","Generative AI (GenAI) Natural Language Processing (NLP)  Machine Learning AI-assisted Design Generation AI-powered UX analytics Automated testing bots Design-to-code AI conversion tools","Active"
"INNOVATION & THE FUTURE","INNOVATION & THE FUTURE","AI-Generated Podcast Production from DEWA Press Releases (NotebookLM)","Innovation & The Future","2025","Other","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported","Generative AI (LLM), Natural Language Processing (NLP), Text-to-Speech (AI Voice Synthesis), Google Cloud NotebookLM","Active"
"BILLING SERVICES","BILLING SERVICES","Billing Document Validation using ML","Billing Services- VALIDATION & NATIONAL CATEGORY","2025","Other","AED 120,131","AED 66,400","1.8×","0.6 yr","Not reported","Not reported","Not reported","SAP Machine Learning","Active"
"BUSINESS DEVELOPMENT & EXCELLENCE","BUSINESS DEVELOPMENT & EXCELLENCE","Construction Progress Monitoring & Change Detection","DEWA R&D / Water & Construction / Distribution Power","2024","Other","AED 1,500,000","AED 700,000","2.1×","0.5 yr","Not reported","Not reported","Not reported","U-Net Semantic Segmentation, XGBoost Classification, Computer Vision, SAR Change Detection (Sentinel-1), Optical Change Detection, Bi-temporal Image Analysis, Automated Permit Validation","Active"
"INNOVATION & THE FUTURE","INNOVATION & THE FUTURE","Demand to Delivery (D2D)","Innovation & the Future","2026","Other","AED 1,296,000","AED 1,296,000","1.0×","1.0 yr","Not reported","Not reported","Not reported","Large Language Model / GenAI (OpenAI GPT-4o via API call)","Active"
"INNOVATION & THE FUTURE","INNOVATION & THE FUTURE","DEWA App in OpenAI Apps Directory","Innovation & The Future","2026","Other","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported","Model Context Protocol / OpenAI ""GPT‑5.3/5.4""","Active"
"BUSINESS DEVELOPMENT & EXCELLENCE","BUSINESS DEVELOPMENT & EXCELLENCE","DEWACAST — AI PV Power Forecasting Model","DEWA R&D / Distribution Power / Transmission Power","2023","Economic","AED 7,340,000","AED 1,500,000","4.9×","0.2 yr","Not reported","Not reported","Not reported","Deep Learning Optical Flow, Convolutional Neural Networks (CNN), NWP Model Integration, Time-Series Forecasting, Python REST API Inference Server (MORO Cloud GPU)","Active"
"BUSINESS DEVELOPMENT & EXCELLENCE","BUSINESS DEVELOPMENT & EXCELLENCE","DEWASOL — Satellite-Based Solar Irradiance Estimation & Forecasting","DEWA R&D / Transmission Power / Distribution Power (Smart Distribution Control Center)","2023","Economic","AED 8,340,000","AED 1,500,000","5.6×","0.2 yr","Not reported","Not reported","Not reported","LSTM Neural Networks, XGBoost Ensemble, Satellite Cloud Motion Vectors, NWP Integration, Heliosat Method, REST API Deployment (TensorFlow / MORO GPU)","Active"
"DISTRIBUTION POWER","DISTRIBUTION POWER","Distribution Control Centre (DCC) Switching Generator","Distribution Operation / Distribution Control Center","2025","Other","AED 198,000","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported","Azure OpenAI (GPT-4o)","Active"
"BUSINESS SUPPORT & HUMAN RESOURCES","BUSINESS SUPPORT & HUMAN RESOURCES","Family Member update","BS&HR Employee Self Service/ HR","2026","Other","AED 59,500","AED 75,000","0.8×","1.3 yr","Not reported","Not reported","Not reported","Open AI 4.0-LLM based OCR","Active"
"BUSINESS SUPPORT & HUMAN RESOURCES","BUSINESS SUPPORT & HUMAN RESOURCES","Family Visa reimbursement","BS&HR Employee Self Service/ HR","2026","Other","AED 102,000","AED 25,000","4.1×","0.2 yr","Not reported","Not reported","Not reported","Open AI 4.0-LLM based OCR","Active"
"BUSINESS DEVELOPMENT & EXCELLENCE","BUSINESS DEVELOPMENT & EXCELLENCE","Fog Estimation & Density Mapping","DEWA R&D / Transmission Power / Generation Power","2023","Other","Not reported","AED 300,000","Not reported","Not reported","Not reported","Not reported","Not reported","Satellite Meteorological Data Processing (Meteosat), Fog Probability Classification, Raster Function Automation (ArcGIS), Hourly Update Pipeline, Spatial Pattern Recognition","Active"
"BUSINESS DEVELOPMENT & EXCELLENCE","BUSINESS DEVELOPMENT & EXCELLENCE","Fog Forecasting (3-Day Ahead Prediction)","DEWA R&D / Transmission Power / Generation Power / Distribution Power","2023","Other","Not reported","AED 300,000","Not reported","Not reported","Not reported","Not reported","Not reported","NWP Data Integration, Atmospheric Pattern Recognition, Machine Learning Fog Classification, Raster Animation (ESRI Experience Builder), Automated Forecast Pipeline","Active"
"GENERATION","GENERATION","Gas Turbine Intelligent Controller (GTIC)","Generation Division","2019","Economic","AED 9,340,000","AED 42,640,000","0.2×","4.6 yr","Not reported","Not reported","Not reported","AI + Machine Learning","Active"
"WATER & CIVIL","WATER & CIVIL","High Water Usage Alert - Proactive Customer Notification System for Water Conservation","Innovation & The Future, Water & Civil","2019","Economic","AED 880,214,996","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported","AI Intelligence - Neural Network Based","Active"
"BUSINESS DEVELOPMENT & EXCELLENCE","BUSINESS DEVELOPMENT & EXCELLENCE","Material-Mind","R&D, BD&E, DEWA","2026","Other","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported","NLP, Gen AI, Rammas GPT-4o","Active"
"INNOVATION & THE FUTURE","INNOVATION & THE FUTURE","My Sustainable Living Programme (MSLP)","Innovation & the Future","2024","Economic","AED 68,570,000","AED 12,000,000","5.7×","0.2 yr","Not reported","Not reported","Not reported","AI, Machine Learning, Non Intrusive Appliance Dissagregation (NILM)","Active"
"BUSINESS DEVELOPMENT & EXCELLENCE","BUSINESS DEVELOPMENT & EXCELLENCE","Oil Spill Detection & Marine Pollution Monitoring","DEWA R&D / Generation Power — Jabel Ali Power Plant","2026","Other","Not reported","AED 1,000,000","Not reported","Not reported","Not reported","Not reported","Not reported","SAR (Synthetic Aperture Radar) Analysis, Supervised Machine Learning Classification, Random Forest, Object Detection, Spill Size Quantification","Active"
